id,title,date,description,digitized,language,subject,location_city,location_state,location_country,image_url,url,item_date_issued,item_created_published,item_medium,item_language,item_newspaper_title,item_lccn,item_place_of_publication
http://www.loc.gov/item/sn85033413/1877-09-16/ed-1/,"The Cairo bulletin (Cairo, Ill.), September 16, 1877",1877-09-16,"Cairo, Ill.",True,english,"alexander county (ill.), alexander, newspapers, united states, cairo, cairo (ill.), illinois, alexander county",cairo,illinois,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:iune:batch_iune_archives_ver01:data:sn85033413:00211101167:1877091601:0415/full/pct:6.25/0/default.jpg#h=469&w=312,https://www.loc.gov/item/sn85033413/1877-09-16/ed-1/,1877-09-16,"Cairo, Ill., September 16, 1877",4 pages,eng,The Cairo bulletin,sn85033413,"Cairo, Ill."
http://www.loc.gov/item/sn89081022/1905-07-05/ed-1/,"Willmar tribune (Willmar, Minn.), July 5, 1905",1905-07-05,"Willmar, Minn.",True,english,"willmar, newspapers, willmar (minn.), united states, kandiyohi, minnesota",willmar,minnesota,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mnhi:batch_mnhi_ford_ver01:data:sn89081022:0021247261A:1905070501:0228/full/pct:3.125/0/default.jpg#h=301&w=247,https://www.loc.gov/item/sn89081022/1905-07-05/ed-1/,1905-07-05,"Willmar, Minn., July 5, 1905",8 pages,eng,Willmar tribune,sn89081022,"Willmar, Minn."
http://www.loc.gov/item/sn89061522/1956-01-19/ed-1/,"Greenbelt news review (Greenbelt, Md.), January 19, 1956",1956-01-19,"Greenbelt, Md.",True,english,"prince george's, greenbelt (md.), newspapers, united states, greenbelt, maryland",greenbelt,maryland,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mdu:batch_mdu_columbine_ver02:data:sn89061522:print:1956011901:0001/full/pct:6.25/0/default.jpg#h=451&w=310,https://www.loc.gov/item/sn89061522/1956-01-19/ed-1/,1956-01-19,"Greenbelt, Md., January 19, 1956",2 pages,eng,Greenbelt news review.,sn89061522,"Greenbelt, Md."
http://www.loc.gov/item/sn93060356/1963-04-11/ed-1/,"Auttaja (Ironwood, Mich.), April 11, 1963",1963-04-11,"Ironwood, Mich.",True,finnish,"gogebic, gogebic county, missouri synod, lutheran church, finnish-american ev. lutheran national church, newspapers, saint louis, ironwood (mich.), michigan, united states, ironwood, saint louis (mo.), missouri, gogebic county (mich.)","saint louis, ironwood","missouri, michigan",united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mimtptc:batch_mimtptc_kingsley_ver01:data:sn93060356:00279552234:1963041101:0159/full/pct:3.125/0/default.jpg#h=264&w=184,https://www.loc.gov/item/sn93060356/1963-04-11/ed-1/,1963-04-11,"Ironwood, Mich., April 11, 1963",8 pages,fin,Auttaja,sn93060356,"Ironwood, Mich."
http://www.loc.gov/item/sn84026403/1857-02-07/ed-1/,"Sunbury American (Sunbury, Pa.), February 7, 1857",1857-02-07,"Sunbury, Pa.",True,english,"pennsylvania, newspapers, northumberland, united states, sunbury, sunbury (pa.)",sunbury,pennsylvania,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:pst:batch_pst_deike_ver01:data:sn84026403:00280776038:1857020701:0332/full/pct:6.25/0/default.jpg#h=443&w=342,https://www.loc.gov/item/sn84026403/1857-02-07/ed-1/,1857-02-07,"Sunbury, Pa., February 7, 1857",4 pages,eng,Sunbury American.,sn84026403,"Sunbury, Pa."
http://www.loc.gov/item/sn89038091/1864-12-07/ed-1/,"The Soldiers' journal (Rendezvous of Distribution, Va.), December 7, 1864",1864-12-07,"Rendezvous of Distribution, Va.",True,english,"alexandria, newspapers, american civil war, united states, virginia, history, civil war, alexandria (va.)",alexandria,virginia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_citation_ver01:data:sn89038091:00280762441:1864120701:0283/full/pct:6.25/0/default.jpg#h=314&w=259,https://www.loc.gov/item/sn89038091/1864-12-07/ed-1/,1864-12-07,"Rendezvous of Distribution, Va., December 7, 1864",8 pages,eng,The Soldiers' journal,sn89038091,"Rendezvous of Distribution, Va."
http://www.loc.gov/item/sn87090385/1888-08-21/ed-1/,"Waco evening news (Waco, Tex.), August 21, 1888",1888-08-21,"Waco, Tex.",True,english,"mclennan, waco, newspapers, united states, waco (tex.), texas",waco,texas,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:txdn:batch_txdn_belgium_ver01:data:sn87090385:00206536044:1888082101:0123/full/pct:6.25/0/default.jpg#h=368&w=246,https://www.loc.gov/item/sn87090385/1888-08-21/ed-1/,1888-08-21,"Waco, Tex., August 21, 1888",4 pages,eng,Waco evening news,sn87090385,"Waco, Tex."
http://www.loc.gov/item/sn78000873/1905-03-23/ed-1/,"The Republican journal (Belfast, Me.), March 23, 1905",1905-03-23,"Belfast, Me.",True,english,"maine, belfast, belfast (me.), waldo, newspapers, united states",belfast,maine,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_damariscotta_ver02:data:sn78000873:00279524883:1905032301:0095/full/pct:6.25/0/default.jpg#h=419&w=303,https://www.loc.gov/item/sn78000873/1905-03-23/ed-1/,1905-03-23,"Belfast, Me., March 23, 1905",8 pages,eng,The Republican journal,sn78000873,"Belfast, Me."
http://www.loc.gov/item/sn89051285/1914-07-29/ed-1/,"The Sentinel=record (Hot Springs, Ark.), July 29, 1914",1914-07-29,"Hot Springs, Ark.",True,english,"https://id.oclc.org/worldcat/entity/e39pbjhcjrmwmcf7mkw3rgrqcp, newspapers, hot springs (ark.), united states, hot springs, arkansas, garland",hot springs,arkansas,united states,,https://www.loc.gov/item/sn89051285/1914-07-29/ed-1/,1914-07-29,"Hot Springs, Ark., July 29, 1914",8 pages,eng,The Sentinel=record,sn89051285,"Hot Springs, Ark."
http://www.loc.gov/item/sn83016244/1953-10-13/ed-1/,"The Key West citizen (Key West, Fla.), October 13, 1953",1953-10-13,"Key West, Fla.",True,english,"key west, key west (fla.), monroe county (fla.), newspapers, florida, united states, monroe county, monroe",key west,florida,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:fu:batch_fu_gatorade_ver01:data:sn83016244:00414181260:1953101301:0107/full/pct:3.125/0/default.jpg#h=263&w=212,https://www.loc.gov/item/sn83016244/1953-10-13/ed-1/,1953-10-13,"Key West, Fla., October 13, 1953",10 pages,eng,The Key West citizen,sn83016244,"Key West, Fla."
